time,lat,long
time,lat,long
time,lat,long
time,lat,long
time,lat,long
10:31:42,-6.8926316666666665,107.61186666666667
10:31:44,-6.8926316666666665,107.61186833333333
10:31:45,-6.8926316666666665,107.61186833333333
10:31:47,-6.8926316666666665,107.61186833333333
10:31:48,-6.8926316666666665,107.61186833333333
10:31:50,-6.892633333333333,107.61186833333333
time,lat,long
11:40:41,-6.888585,107.61038166666667
11:40:43,-6.88859,107.61038
11:40:45,-6.888591666666667,107.61038
11:40:46,-6.888591666666667,107.61037833333333
11:40:48,-6.888593333333334,107.61038
11:40:50,-6.888593333333334,107.61038
11:40:51,-6.888593333333334,107.61038
11:40:53,-6.888593333333334,107.61038
11:40:55,-6.8885950000000005,107.61038
11:40:56,-6.8885950000000005,107.61038
11:40:58,-6.8885950000000005,107.61038166666667
11:41:0,-6.8885950000000005,107.61038333333333
11:41:1,-6.8885950000000005,107.61038333333333
11:41:3,-6.8885950000000005,107.610385
11:41:5,-6.8885966666666665,107.610385
11:41:6,-6.8885966666666665,107.610385
11:41:8,-6.888598333333333,107.61038666666667
11:41:10,-6.888598333333333,107.61038833333333
11:41:11,-6.888598333333333,107.61038833333333
11:41:13,-6.8886,107.61039
11:41:15,-6.8886,107.61039
11:41:16,-6.8886,107.61039
11:41:18,-6.888601666666666,107.61039
11:41:20,-6.888601666666666,107.61039
11:41:21,-6.888601666666666,107.61039
11:41:23,-6.888601666666666,107.61039
11:41:24,-6.888601666666666,107.61039
11:41:26,-6.888601666666666,107.61038833333333
11:41:28,-6.888603333333333,107.61038833333333
11:41:30,-6.888603333333333,107.61038666666667
11:41:31,-6.888603333333333,107.61038666666667
11:41:33,-6.888603333333333,107.61038666666667
11:41:34,-6.888603333333333,107.610385
11:41:36,-6.888605,107.610385
11:41:38,-6.888605,107.610385
11:41:39,-6.888605,107.610385
11:41:41,-6.888603333333333,107.610385
11:41:43,-6.888603333333333,107.61038666666667
11:41:45,-6.888603333333333,107.61038666666667
11:41:46,-6.888603333333333,107.61038666666667
11:41:48,-6.888603333333333,107.610385
11:41:50,-6.888601666666666,107.610385
