latitude,longitude,time,sea_current_speed,direction
1.73477,101.50311955555556,2026-08-12T21:00,,
1.9668830000000002,101.29466377777777,2026-08-12T21:00,1.4,310.0
1.9668830000000002,101.50311955555556,2026-08-12T21:00,1.3,262.0
2.121625,101.29466377777777,2026-08-12T21:00,1.4,310.0
2.044254,101.39889166666667,2026-08-12T21:00,0.9,307.0
1.9668830000000002,101.71157533333333,2026-08-12T21:00,0.4,333.0
2.044254,101.19043588888889,2026-08-12T21:00,1.4,310.0
2.121625,101.71157533333333,2026-08-12T21:00,2.2,294.0
2.044254,101.60734744444444,2026-08-12T21:00,1.5,256.0
2.121625,101.50311955555556,2026-08-12T21:00,1.3,262.0
2.044254,101.81580322222223,2026-08-12T21:00,0.6,326.0
